1 Status: local   C=RU,CN=pov-4-csp2
40 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dubna-go-4cs
41 Status: remote  C=RU,O=MO112,CN=ozerskiy_mr_6cs
42 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=losino-petr-go-3cs
43 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra,CN=protvino-go-2cs
44 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhov-go-1cs
45 Status: remote  C=RU,O=MO112,CN=vlasiha_zato_1cs
46 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=leninskiy-mr-8cs
47 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lubereckiy-mr-8cs
48 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-7cs
49 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-10cs
50 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-20cs
51 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-5cs
52 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=taldomskiy-mr-5cs
53 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pav-posad-mr-2cs
54 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kashirskiy-mr-7cs
55 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramensky-mr-2cs
56 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=bronnici-go-3cs
57 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-1cs
58 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-20cs
59 Status: remote  C=RU,CN=schelkovski_mr_10cs
60 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ruzskiy-mr-1cs
61 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-mr-3cs
62 Status: remote  C=RU,O=MO112,CN=noginskiy_mr_7cs
63 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kolomna-go-5cs
64 Status: remote  C=RU,O=MO112,CN=podolsk_go_8cs
65 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-3cs
66 Status: remote  C=RU,CN=pushkinskiy_mr_13cs
67 Status: remote  C=RU,O=MO112,CN=dubna_go_1cs
68 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-13cs
69 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kolomna-go-6cs
70 Status: remote  C=RU,O=MO112,CN=ivanteevka_go_1cs
71 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-6cs
72 Status: remote  C=RU,CN=kashirskiy_mr_1cs
73 Status: remote  C=RU,O=MO112,CN=istrinskiy_mr_14cs
74 Status: remote  C=RU,O=MO112,CN=mitishinski_mr_10cs
75 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-3cs
76 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=korolev-go-4cs
77 Status: remote  C=RU,O=MO112,CN=krasnogorsk_mr_15cs
78 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-2cs
79 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=himki-go-8cs
80 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-7cs
81 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dolgoprudn-go-3cs
82 Status: remote  C=RU,CN=kashirskiy_mr_8cs
83 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramenskiy-mr-21cs
84 Status: remote  C=RU,O=MO112,CN=istrinskiy_mr_9cs
85 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-7cs
86 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-go-4cs
87 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-1cs
88 Status: remote  C=RU,O=MO112,CN=s_gorskiy_mr_1cs
89 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-11cs
90 Status: remote  C=RU,O=MO112,CN=reutov_go_4cs
91 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=stupinskiy-mr-4cs
92 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_1cs
93 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-21cs
94 Status: remote  C=RU,O=MO112,CN=k_armeisk_go_1cs
95 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=luhovitskiy-mr-2cs
96 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-3cs
97 Status: remote  C=RU,CN=dolgoprudn_go_3cs
98 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=egorevsk-mr-4cs
99 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=moscow-6cs
100 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lubereckiy-mr-9cs
101 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-7cs
102 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-13cs
103 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ivanteevka-go-2cs
104 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-7cs
105 Status: remote  C=RU,CN=volokolamsk_mr_5cs
106 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-4cs
107 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-4cs
108 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ubileiniy-go-2cs
109 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-mr-3cs
110 Status: remote  C=RU,CN=stupinskiy_mr_14cs
111 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ozerskiy-mr-3cs
112 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kashirskiy-mr-2cs
113 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-12cs
114 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dmitrov-mr-20cs
115 Status: remote  C=RU,O=MO112,CN=electro_gk_go_1cs
116 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-9cs
117 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-5cs
118 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-3cs
119 Status: remote  C=RU,O=MO112,CN=pushkinskiy_mr_15cs
120 Status: remote  C=RU,CN=krasnogorsk_mr_1cs
121 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=taldomskiy-mr-2cs
122 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-8cs
123 Status: remote  C=RU,O=MO112,CN=pav_posad_mr_1cs
124 Status: remote  C=RU,O=MO112,CN=mozhaiskiy_mr_6cs
125 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-4cs
126 Status: remote  C=RU,CN=lobna_go_1cs
127 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk-mr-3cs
128 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=j-dorozjniy-go-3cs
129 Status: remote  C=RU,CN=shahovskiy_mr_1cs
130 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=istrinskiy-mr-2cs
131 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramenskiy-mr-1cs
132 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-8cs
133 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-4cs
134 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=electrostal-go-2cs
135 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-13cs
136 Status: remote  C=RU,O=MO112,CN=ramenskiy_mr_15cs
137 Status: remote  C=RU,O=MO112,CN=balashiha_go_7cs
138 Status: remote  C=RU,CN=stupinskiy_mr_1cs
139 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-5cs
140 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-6cs
141 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-3cs
142 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-10cs
143 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-5cs
144 Status: remote  C=RU,O=MO112,CN=egorevsk_mr_6cs
145 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-11cs
146 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-6cs
147 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-20cs
148 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=shahovskiy-mr-3cs
149 Status: remote  C=RU,O=MO112,CN=or_zuevo_mr_9cs
150 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-6cs
151 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-gorskiy-mr-20cs
152 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=egorevsk-mr-2cs
153 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dubna-go-2cs
154 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-5cs
155 Status: remote  C=RU,O=MO112,CN=chehovskiy_mr_6cs
156 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=roshal-go-2cs
157 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zaraiskiy-mr-6cs
158 Status: remote  C=RU,CN=chehovskiy_mr_8cs
159 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=volokolamsk-mr-3cs
160 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mozhaiskiy-mr-8cs
161 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk_mr_12cs
162 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushkinskiy-mr-1cs
163 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ruzskiy-mr-2cs
164 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dmitrov-mr-3cs
165 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_8cs
166 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=k-armeisk-go-4cs
167 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=electrostal-go-5cs
168 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-2cs
169 Status: remote  C=RU,O=MO112,CN=shaturskiy_mr_5cs
170 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushkinskiy-mr-11cs
171 Status: remote  C=RU,O=MO112,CN=taldomskiy_mr_1cs
172 Status: remote  C=RU,CN=mozhaiskiy_mr_9cs
173 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-8cs
174 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-posadskiy-mr-4cs
175 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=balashiha-go-1cs
176 Status: remote  C=RU,CN=mitishinski_mr_13cs
177 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=j-dorozjniy-go-2cs
178 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=istrinskiy-mr-4cs
179 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-2cs
180 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mozhaiskiy-mr-5cs
181 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=che-golovka-go-3cs
182 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kolomna-go-7cs
183 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dolgoprudn-go-2cs
184 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=balashiha-go-9cs
185 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-10cs
186 Status: remote  C=RU,O=MO112,CN=serpuhov_go_4cs
187 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-7cs
188 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-6cs
189 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-8cs
190 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kotelniki-go-3cs
191 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-6cs
192 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=odincovskiy-mr-2cs
193 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-8cs
194 Status: remote  C=RU,O=MO112,CN=n_fominsk_mr_9cs
195 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=k-znam-zato-go-2cs
196 Status: remote  C=RU,O=MO112,CN=voshod_zato_1cs
197 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-6cs
198 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-3cs
199 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-6cs
200 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voshod-zato-2cs
201 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-11cs
202 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-posadskiy-mr-11cs
203 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-20cs
204 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=leninskiy-mr-3cs
205 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhovski-mr-21cs
206 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-6cs
207 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-4cs
208 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=klimovsk-go-4cs
209 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dubna-go-3cs
210 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=himki-cuks-1cs
211 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-4cs
212 Status: remote  C=RU,O=MO112,CN=dmitrov_mr_12cs
213 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-5cs
214 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=egorevsk-mr-3cs
215 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-5cs
216 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-11cs
217 Status: remote  C=RU,O=MO112,CN=s_posadskiy_mr_16cs
218 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-mr-2cs
219 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-5cs
220 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-20cs
221 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-6cs
222 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=grinvud-1cs
223 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=zvinigorod-go-3cs
224 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk-mr-11cs
225 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mitishinski-mr-2cs
226 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=himki-go-2cs
227 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-gorskiy-mr-3cs
228 Status: remote  C=RU,CN=chehovskiy_mr_1cs
229 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=zhukovskiy-go-3cs
230 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=litkarino-go-2cs
231 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=odincovskiy-mr-3cs
232 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-6cs
233 Status: remote  C=RU,O=MO112,CN=voskresensk_mr_9cs
234 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=korolev-go-3cs
235 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mitishinski-mr-12cs
236 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_5cs
237 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-5cs
238 Status: remote  C=RU,L=Moscow,O=MITS,OU=S_Terra KP,CN=stupinskiy-mr-10cs
239 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-2cs
240 Status: remote  C=RU,CN=domodedovo_go_13cs
241 Status: remote  C=RU,O=MO112,CN=ruzskiy_mr_9cs
242 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=fryazino-go-3cs
243 Status: remote  C=RU,CN=schelkovski_mr_16cs
244 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=electrostal-go-3cs
245 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramenskiy-mr-3cs
246 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=electro-gk-go-5cs
247 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kolomenskiy-mr-2cs
248 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kotelniki-go-2cs
249 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=zv-gor-zato-go-3cs
250 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dzerjinsk-go-2cs
251 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=pav-posad-mr-3cs
252 Status: remote  C=RU,CN=dolgoprudn_go_1cs
253 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-3cs
254 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-9cs
255 Status: remote  C=RU,CN=noginskiy_mr_11cs
256 Status: remote  C=RU,O=MO112,CN=shaturskiy_mr_1cs
257 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=balashiha-go-10cs
258 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=losino-petr-go-2cs
259 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=Che-golovlka-go-4cs
260 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=luhovitskiy-mr-6cs
261 Status: remote  C=RU,CN=s_prudskiy_mr_1cs
262 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kashirskiy-mr-5cs
263 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=luhovitskiy-mr-3cs
264 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lubereckiy-mr-5cs
265 Status: remote  C=RU,O=MO112,CN=zhukovskiy_go_4cs
266 Status: remote  C=RU,O=MO112,CN=molod_zato_go_1cs
267 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=istrinskiy-mr-3cs
268 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-8cs
269 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-5cs
270 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-20cs
271 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-4cs
272 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=chehovskiy-mr-5cs
273 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-3cs
274 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-mr-3cs
275 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-10cs
276 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=serpuhov-go-5cs
277 Status: remote  C=RU,CN=s_posadskiy_mr_12cs
278 Status: remote  C=RU,CN=volokolamsk_mr_1cs
279 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kashirskiy-mr-6cs
280 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk-mr-3cs
281 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-4cs
282 Status: remote  C=RU,CN=kashirskiy_mr_9cs
283 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-8cs
284 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-4cs
285 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=k-armeisk-go-2cs
286 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-8cs
