1 Status: trusted C=RU,L=Moscow,O=MITS,OU=Certification Authority,CN=Certificating Center
2 Status: local   C=RU,CN=pov-2-csp2
85 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mozhaiskiy-mr-5cs
86 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-5cs
87 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ubileiniy-go-2cs
88 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=leninskiy-mr-7cs
89 Status: remote  C=RU,CN=stupinskiy_mr_14cs
90 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-4cs
91 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-8cs
92 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-mr-4cs
93 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=pushkinskiy-mr-6cs
94 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-1cs
95 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dolgoprudn-go-3cs
96 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-go-12cs
97 Status: remote  C=RU,O=MO112,CN=shaturskiy_mr_1cs
98 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dmitrov-mr-3cs
99 Status: remote  C=RU,O=MO112,CN=voskresensk_mr_9cs
100 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=che-golovka-go-2cs
101 Status: remote  C=RU,O=MO112,CN=egorevsk_mr_6cs
102 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-5cs
103 Status: remote  C=RU,CN=volokolamsk_mr_5cs
104 Status: remote  C=RU,O=MO112,CN=litkarino_go_1cs
105 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=kashirskiy-mr-3cs
106 Status: remote  C=RU,O=MO112,CN=domodedovo_go_6cs
107 Status: remote  C=RU,CN=kashirskiy_mr_8cs
108 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mozhaiskiy-mr-3cs
109 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-6cs
110 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhov-go-6cs
111 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dzerjinsk-go-2cs
112 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-gorskiy-mr-4cs
113 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=zv-gor-zato-go-2cs
114 Status: remote  C=RU,O=MO112,CN=mitishinski_mr_10cs
115 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-12cs
116 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=leninskiy-mr-4cs
117 Status: remote  C=RU,O=MO112,CN=kotelniki_go_1cs
118 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=protvino-go-3cs
119 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=grinvud-1cs
120 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-5cs
121 Status: remote  C=RU,O=MO112,CN=dubna_go_1cs
122 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk-mr-2cs
123 Status: remote  C=RU,CN=dolgoprudn_go_3cs
124 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=egorevsk-mr-2cs
125 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=serpuhov-go-1cs
126 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-9cs
127 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-gorskiy-mr-2cs
128 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=korolev-go-3cs
129 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=vlasiha-zato-2cs
130 Status: remote  C=RU,CN=kashirskiy_mr_9cs
131 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=taldomskiy-mr-2cs
132 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mitishinski-mr-12cs
133 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kolomna-go-2cs
134 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-10cs
135 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-20cs
136 Status: remote  C=RU,CN=kashirskiy_mr_4cs
137 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-12cs
138 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-3cs
139 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-2cs
140 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=k-znam-zato-go-4cs
141 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kolomna-go-7cs
142 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra,CN=protvino-go-2cs
143 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-mr-3cs
144 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=podolsk-mr-9cs
145 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shahovskiy-mr-2cs
146 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=chehovskiy-mr-4cs
147 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-7cs
148 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=pushino-go-3cs
149 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=balashiha-go-10cs
150 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=volokolamsk-mr-2cs
151 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ruzskiy-mr-2cs
152 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lubereckiy-mr-2cs
153 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-posadskiy-mr-11cs
154 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pav-posad-mr-2cs
155 Status: remote  C=RU,CN=lotoshinski_mr_1cs
156 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=mos-oblast-msk-3cs
157 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-5cs
158 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ramensky-mr-2cs
159 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-posadskiy-mr-2cs
160 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-5cs
161 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=domodedovo-go-1cs
162 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-8cs
163 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=korolev-go-7cs
164 Status: remote  C=RU,CN=s_prudskiy_mr_1cs
165 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=luhovitskiy-mr-6cs
166 Status: remote  C=RU,CN=zaraiskiy_mr_1cs
167 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=or-zuevo-go-2cs
168 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=luhovitskiy-mr-3cs
169 Status: remote  C=RU,O=MO112,CN=reutov_go_1cs
170 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-4cs
171 Status: remote  C=RU,CN=schelkovski_mr_10cs
172 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-11cs
173 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-6cs
174 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=krasnogorsk-mr-7cs
175 Status: remote  C=RU,O=MO112,CN=balashiha_go_7cs
176 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-prudskiy-mr-3cs
177 Status: remote  C=RU,CN=luhovitskiy_mr_1cs
178 Status: remote  C=RU,CN=volokolamsk_mr_1cs
179 Status: remote  C=RU,O=MO112,CN=j_dorozjniy_go_4cs
180 Status: remote  C=RU,O=MO112,CN=korolev_go_6cs
181 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=dubna-go-3cs
182 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-8cs
183 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-4cs
184 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk-mr-3cs
185 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=istrinskiy-mr-20cs
186 Status: remote  C=RU,O=MO112,CN=pav_posad_mr_1cs
187 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=leninskiy-mr-8cs
188 Status: remote  C=RU,CN=stupinskiy_mr_1cs
189 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-11cs
190 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=dmitrov-mr-4cs
191 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=klimovsk-go-4cs
192 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-9cs
193 Status: remote  C=RU,O=MO112,CN=podolsk_go_8cs
194 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=zaraiskiy-mr-3cs
195 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-6cs
196 Status: remote  C=RU,O=MO112,CN=ruzskiy_mr_9cs
197 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-5cs
198 Status: remote  C=RU,O=MO112,CN=pushkinskiy_mr_15cs
199 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-8cs
200 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=chehovskiy-mr-3cs
201 Status: remote  C=RU,O=MO112,CN=schelkovski_mr_22cs
202 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=moscow-6cs
203 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=pushkinskiy-mr-11cs
204 Status: remote  C=RU,CN=s_gorskiy_mr_9cs
205 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-6cs
206 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=s-posadskiy-mr-8cs
207 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=zhukovskiy-go-3cs
208 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=domodedovo-go-10cs
209 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kotelniki-go-3cs
210 Status: remote  C=RU,O=MO112,CN=serpuhov_go_4cs
211 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=or-zuevo-mr-5cs
212 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-8cs
213 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-3cs
214 Status: remote  C=RU,O=MO112,CN=zhukovskiy_go_4cs
215 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=odincovskiy-mr-5cs
216 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=electro-gk-go-3cs
217 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-6cs
218 Status: remote  C=RU,O=MO112,CN=k_armeisk_go_1cs
219 Status: remote  C=RU,O=MO112,CN=pushkinskiy_mr_12cs
220 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lubereckiy-mr-9cs
221 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=chehovskiy-mr-2cs
222 Status: remote  C=RU,O=MO112,CN=zv_gor_zato_go_1cs
223 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-21cs
224 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=klinskiy-mr-3cs
225 Status: remote  C=RU,O=MO112,CN=shaturskiy_mr_5cs
226 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=lotoshinski-mr-2cs
227 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=chehovskiy-mr-5cs
228 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-6cs
229 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=Che-golovlka-go-4cs
230 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=ivanteevka-go-2cs
231 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=egorevsk-mr-3cs
232 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=electrostal-go-4cs
233 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=stupinskiy-mr-2cs
234 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=klimovsk-mr-3cs
235 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=noginskiy-mr-3cs
236 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=reutov-go-3cs
237 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=shaturskiy-mr-2cs
238 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=litkarino-go-3cs
239 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=j-dorozjniy-go-3cs
240 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=stupinskiy-mr-3cs
241 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=shcelkovski-mr-9cs
242 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-7cs
243 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=kashirskiy-mr-2cs
244 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lotoshinski-mr-3cs
245 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=che-golovka-go-3cs
246 Status: remote  C=RU,O=MO112,CN=ozerskiy_mr_5cs
247 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-go-5cs
248 Status: remote  C=RU,O=MO112,CN=or_zuevo_mr_10cs
249 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-4cs
250 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=podolsk-mr-5cs
251 Status: remote  C=RU,O=MO112,CN=protvino_go_1cs
252 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=n-fominsk-mr-10cs
253 Status: remote  C=RU,CN=ozerskiy_mr_1cs
254 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-posadskiy-mr-4cs
255 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=voskresensk-mr-6cs
256 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=himki-go-4cs
257 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-5cs
258 Status: remote  C=RU,CN=schelkovski_mr_1cs
259 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=noginskiy-mr-2cs
260 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ruzskiy-mr-5cs
261 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=n-fominsk-mr-6cs
262 Status: remote  C=RU,O=MO112,CN=klinskiy_mr_5cs
263 Status: remote  C=RU,CN=krasnogorsk_mr_10cs
264 Status: remote  C=RU,O=MO112,CN=taldomskiy_mr_1cs
265 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=schelkovski-mr-6cs
266 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=voskresensk_mr_12cs
267 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=electrostal-go-3cs
268 Status: remote  C=RU,O=MO112,CN=chehovskiy_mr_6cs
269 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=lubereckiy-mr-7cs
270 Status: remote  C=RU,O=MO112,CN=zhukovskiy_go_1cs
271 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=domodedovo-go-2cs
272 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=himki-go-2cs
273 Status: remote  C=RU,O=MO112,CN=istrinskiy_mr_1cs
274 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=balashiha-go-3cs
275 Status: remote  C=RU,CN=pushkinskiy_mr_13cs
276 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=ramenskiy-mr-7cs
277 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=s-prudskiy-mr-2cs
278 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=odincovskiy-mr-14cs
279 Status: remote  C=RU,L=Moscow,O=MVDRF,OU=S-Terra KP,CN=mitishinski-mr-11cs
280 Status: remote  C=RU,O=MO112,CN=pushino_go_1cs
281 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=electrostal-go-5cs
282 Status: remote  C=RU,L=Moscow,O=MITS,OU=S-Terra KP,CN=krasnogorsk-mr-2cs
