balashiha_go_1cs	10.1.1.32/29
domodedovo_go_12cs	10.8.12.32/29
domodedovo_go_13cs	10.8.13.32/29
domodedovo_go_20cs	10.8.20.32/29
domodedovo-go-20cs	10.8.20.32/29
dubna_go_1cs	10.9.1.32/29
dubna_go_2cs	10.9.2.32/29
dubna_go_3cs	10.9.3.32/29
dubna_go_4cs	10.9.4.32/29
dubna_go_5cs	10.9.5.32/29
dubna_go_6cs	10.9.6.32/29
egorevsk_mr_1cs	10.10.1.32/29
egorevsk_mr_2cs	10.10.2.32/29
egorevsk_mr_3cs	10.10.3.32/29
egorevsk_mr_4cs	10.10.4.32/29
egorevsk_mr_5cs	10.10.5.32/29
egorevsk_mr_6cs	10.10.6.32/29
egorevsk_mr_7cs	10.10.7.32/29
egorevsk_mr_8cs	10.10.8.32/29
j_dorozjniy_go_1cs	10.11.1.32/29
j_dorozjniy_go_2cs	10.11.2.32/29
j_dorozjniy_go_3cs	10.11.3.32/29
j_dorozjniy_go_4cs	10.11.4.32/29
zhukovskiy_go_1cs	10.12.1.32/29
zhukovskiy_go_2cs	10.12.2.32/29
zhukovskiy_go_3cs	10.12.3.32/29
zhukovskiy_go_4cs	10.12.4.32/29
zaraiskiy_mr_1cs	10.13.1.32/29
zaraiskiy_mr_2cs	10.13.2.32/29
zaraiskiy_mr_3cs	10.13.3.32/29
zaraiskiy_mr_4cs	10.13.4.32/29
zaraiskiy_mr_5cs	10.13.5.32/29
zaraiskiy_mr_6cs	10.13.6.32/29
zvinigorod_go_1cs	10.14.1.32/29
zvinigorod_go_2cs	10.14.2.32/29
zvinigorod_go_3cs	10.14.3.32/29
zvinigorod_go_4cs	10.14.4.32/29
ivanteevka_go_1cs	10.15.1.32/29
ivanteevka_go_2cs	10.15.2.32/29
ivanteevka_go_3cs	10.15.3.32/29
ivanteevka_go_4cs	10.15.4.32/29
istrinskiy_mr_1cs	10.16.1.32/29
istrinskiy_mr_2cs	10.16.2.32/29
istrinskiy_mr_3cs	10.16.3.32/29
istrinskiy_mr_4cs	10.16.4.32/29
istrinskiy_mr_5cs	10.16.5.32/29
istrinskiy_mr_6cs	10.16.6.32/29
istrinskiy_mr_7cs	10.16.7.32/29
istrinskiy_mr_8cs	10.16.8.32/29
istrinskiy_mr_9cs	10.16.9.32/29
istrinskiy_mr_10cs	10.16.10.32/29
istrinskiy_mr_11cs	10.16.11.32/29
istrinskiy_mr_12cs	10.16.12.32/29
istrinskiy_mr_13cs	10.16.13.32/29
istrinskiy_mr_14cs	10.16.14.32/29
istrinskiy_mr_20cs	10.16.20.32/29
istrinskiy_mr_20cs	10.16.20.32/29
kashirskiy_mr_1cs	10.17.1.32/29
kashirskiy_mr_2cs	10.17.2.32/29
kashirskiy_mr_3cs	10.17.3.32/29
kashirskiy_mr_4cs	10.17.4.32/29
kashirskiy_mr_5cs	10.17.5.32/29
kashirskiy_mr_6cs	10.17.6.32/29
kashirskiy_mr_7cs	10.17.7.32/29
kashirskiy_mr_8cs	10.17.8.32/29
kashirskiy_mr_9cs	10.17.9.32/29
kashirskiy_mr_20cs	10.17.20.32/29
klimovsk_go_1cs	10.18.1.32/29
klimovsk_go_2cs	10.18.2.32/29
klimovsk_go_3cs	10.18.3.32/29
klimovsk_go_4cs	10.18.4.32/29
klinskiy_mr_1cs	10.19.1.32/29
klinskiy_mr_2cs	10.19.2.32/29
klinskiy_mr_3cs	10.19.3.32/29
klinskiy_mr_4cs	10.19.4.32/29
klinskiy_mr_5cs	10.19.5.32/29
klinskiy_mr_6cs	10.19.6.32/29
klinskiy_mr_7cs	10.19.7.32/29
klinskiy_mr_8cs	10.19.8.32/29
kolomenskiy_mr_1cs	10.20.1.32/29
kolomenskiy_mr_2cs	10.20.2.32/29
kolomenskiy_mr_4cs	10.20.4.32/29
kolomna_go_1cs	10.21.1.32/29
kolomna_go_2cs	10.21.2.32/29
kolomna_go_3cs	10.21.3.32/29
kolomna_go_4cs	10.21.4.32/29
kolomna_go_5cs	10.21.5.32/29
kolomna_go_6cs	10.21.6.32/29
kolomna_go_7cs	10.21.7.32/29
kolomna_go_8cs	10.21.8.32/29
korolev_go_1cs	10.22.1.32/29
korolev_go_2cs	10.22.2.32/29
korolev_go_3cs	10.22.3.32/29
korolev_go_4cs	10.22.4.32/29
korolev_go_5cs	10.22.5.32/29
korolev_go_6cs	10.22.6.32/29
korolev_go_7cs	10.22.7.32/29
kotelniki_go_1cs	10.23.1.32/29
kotelniki_go_2cs	10.23.2.32/29
kotelniki_go_3cs	10.23.3.32/29
k_armeisk_go_1cs	10.24.1.32/29
k_armeisk_go_2cs	10.24.2.32/29
k_armeisk_go_3cs	10.24.3.32/29
k_armeisk_go_4cs	10.24.4.32/29
krasnogorsk_mr_1cs	10.25.1.32/29
krasnogorsk_mr_2cs	10.25.2.32/29
krasnogorsk_mr_3cs	10.25.3.32/29
krasnogorsk_mr_4cs	10.25.4.32/29
krasnogorsk_mr_5cs	10.25.5.32/29
krasnogorsk_mr_6cs	10.25.6.32/29
krasnogorsk_mr_7cs	10.25.7.32/29
krasnogorsk_mr_8cs	10.25.8.32/29
krasnogorsk_mr_9cs	10.25.9.32/29
krasnogorsk_mr_10cs	10.25.10.32/29
krasnogorsk_mr_11cs	10.25.11.32/29
krasnogorsk_mr_12cs	10.25.12.32/29
krasnogorsk_mr_13cs	10.25.13.32/29
krasnogorsk_mr_14cs	10.25.14.32/29
krasnogorsk_mr_15cs	10.25.15.32/29
krasnogorsk_mr_16cs	10.25.16.32/29
k_znam_zato_go_1cs	10.26.1.32/29
k_znam_zato_go_2cs	10.26.2.32/29
k_znam_zato_go_3cs	10.26.3.32/29
k_znam_zato_go_4cs	10.26.4.32/29
leninskiy_mr_1cs	10.27.1.32/29
leninskiy_mr_2cs	10.27.2.32/29
leninskiy_mr_3cs	10.27.3.32/29
leninskiy_mr_4cs	10.27.4.32/29
leninskiy_mr_5cs	10.27.5.32/29
leninskiy_mr_6cs	10.27.6.32/29
leninskiy_mr_7cs	10.27.7.32/29
leninskiy_mr_8cs	10.27.8.32/29
lobna_go_1cs	10.28.1.32/29
lobna_go_2cs	10.28.2.32/29
lobna_go_3cs	10.28.3.32/29
lobna_go_4cs	10.28.4.32/29
losino_petr_go_1cs	10.29.1.32/29
losino_petr_go_2cs	10.29.2.32/29
losino_petr_go_3cs	10.29.3.32/29
losino_petr_go_5cs	10.29.5.32/29
losino_petr_go_6cs	10.29.6.32/29
lotoshinski_mr_1cs	10.30.1.32/29
lotoshinski_mr_2cs	10.30.2.32/29
lotoshinski_mr_3cs	10.30.3.32/29
lotoshinski_mr_4cs	10.30.4.32/29
luhovitskiy_mr_1cs	10.31.1.32/29
luhovitskiy_mr_2cs	10.31.2.32/29
luhovitskiy_mr_3cs	10.31.3.32/29
luhovitskiy_mr_4cs	10.31.4.32/29
luhovitskiy_mr_5cs	10.31.5.32/29
luhovitskiy_mr_6cs	10.31.6.32/29
luhovitskiy_mr_7cs	10.31.7.32/29
litkarino_go_1cs	10.32.1.32/29
litkarino_go_2cs	10.32.2.32/29
litkarino_mr_3cs	10.32.3.32/29
litkarino_go_4cs	10.32.4.32/29
lubereckiy_mr_1cs	10.33.1.32/29
lubereckiy_mr_2cs	10.33.2.32/29
lubereckiy_mr_3cs	10.33.3.32/29
lubereckiy_mr_4cs	10.33.4.32/29
lubereckiy_mr_5cs	10.33.5.32/29
lubereckiy_mr_6cs	10.33.6.32/29
lubereckiy_mr_7cs	10.33.7.32/29
lubereckiy_mr_8cs	10.33.8.32/29
lubereckiy_mr_9cs	10.33.9.32/29
lubereckiy_mr_10cs	10.33.10.32/29
lubereckiy_mr_11cs	10.33.11.32/29
lubereckiy_mr_12cs	10.33.12.32/29
lubereckiy_mr_13cs	10.33.13.32/29
lubereckiy_mr_14cs	10.33.14.32/29
lubereckiy_mr_19cs	10.33.19.32/29
lubereckiy_mr_20cs	10.33.20.32/29
lubereckiy_mr_22cs	10.33.22.32/29
mozhaiskiy_mr_1cs	10.34.1.32/29
mozhaiskiy_mr_2cs	10.34.2.32/29
mozhaiskiy_mr_3cs	10.34.3.32/29
mozhaiskiy_mr_4cs	10.34.4.32/29
mozhaiskiy_mr_5cs	10.34.5.32/29
mozhaiskiy_mr_6cs	10.34.6.32/29
mozhaiskiy_mr_7cs	10.34.7.32/29
mozhaiskiy_mr_8ce	10.34.8.32/29
mozhaiskiy_mr_9cs	10.34.9.32/29
mos_oblast_msk_1cs	10.35.1.32/29
mos_oblast_msk_2cs	10.35.2.32/29
mos_oblast_msk_3cs	10.35.3.32/29
mos_oblast_msk_4cs	10.35.4.32/29
mos_oblast_msk_7cs	10.35.7.32/29
mitishinski_mr_1cs	10.36.1.32/29
mitishinski_mr_2cs	10.36.2.32/29
mitishinski_mr_3cs	10.36.3.32/29
mitishinski_mr_4cs	10.36.4.32/29
mitishinski_mr_5cs	10.36.5.32/29
mitishinski_mr_6cs	10.36.6.32/29
mitishinski_mr_7cs	10.36.7.32/29
mitishinski_mr_8cs	10.36.8.32/29
mitishinski_mr_9cs	10.36.9.32/29
mitishinski_mr_10cs	10.36.10.32/29
mitishinski_mr_11cs	10.36.11.32/29
mitishinski_mr_12cs	10.36.12.32/29
mitishinski_mr_13cs	10.36.13.32/29
n_fominsk_mr_1cs	10.37.1.32/29
n_fominsk_mr_2cs	10.37.2.32/29
n_fominsk_mr_3cs	10.37.3.32/29
n_fominsk_mr_4cs	10.37.4.32/29
n_fominsk_mr_5cs	10.37.5.32/29
n_fominsk_mr_6cs	10.37.6.32/29
n_fominsk_mr_7cs	10.37.7.32/29
n_fominsk_mr_8cs	10.37.8.32/29
n_fominsk_mr_9cs	10.37.9.32/29
n_fominsk_mr_10cs	10.37.10.32/29
n_fominsk_mr_11cs	10.37.11.32/29
n_fominsk_mr_12cs	10.37.12.32/29
n_fominsk_mr_13ce	10.37.13.32/29
noginskiy_mr_1cs	10.38.1.32/29
noginskiy_mr_2cs	10.38.2.32/29
noginskiy_mr_3cs	10.38.3.32/29
noginskiy_mr_4cs	10.38.4.32/29
noginskiy_mr_5cs	10.38.5.32/29
noginskiy_mr_6cs	10.38.6.32/29
noginskiy_mr_7cs	10.38.7.32/29
noginskiy_mr_8cs	10.38.8.32/29
noginskiy_mr_9cs	10.38.9.32/29
noginskiy_mr_10cs	10.38.10.32/29
noginskiy_mr_11cs	10.38.11.32/29
noginskiy_mr_12cs	10.38.12.32/29
noginskiy_mr_13cs	10.38.13.32/29
noginskiy_mr_20cs	10.38.20.32/29
noginskiy-mr-20cs	10.38.20.32/29
noginskiy_mr_21cs	10.38.21.32/29
odincovskiy_mr_1cs	10.39.1.32/29
odincovskiy_mr_2cs	10.39.2.32/29
odincovskiy_mr_3cs	10.39.3.32/29
odincovskiy_mr_4cs	10.39.4.32/29
odincovskiy_mr_5cs	10.39.5.32/29
odincovskiy_mr_6cs	10.39.6.32/29
odincovskiy_mr_7cs	10.39.7.32/29
odincovskiy_mr_8cs	10.39.8.32/29
odincovskiy_mr_9cs	10.39.9.32/29
odincovskiy_mr_10cs	10.39.10.32/29
odincovskiy_mr_11cs	10.39.11.32/29
odincovskiy_mr_12cs	10.39.12.32/29
odincovskiy_mr_13cs	10.39.13.32/29
odincovskiy_mr_14cs	10.39.14.32/29
odincovskiy_mr_15cs	10.39.15.32/29
odincovskiy_mr_16cs	10.39.16.32/29
odincovskiy_mr_17cs	10.39.17.32/29
odincovskiy_mr_20cs	10.39.20.32/29
odincovskiy-mr-20cs	10.39.20.32/29
odincovskiy_mr_21cs	10.39.21.32/29
ozerskiy_mr_1cs	10.40.1.32/29
ozerskiy_mr_2cs	10.40.2.32/29
ozerskiy_mr_3cs	10.40.3.32/29
ozerskiy_mr_4cs	10.40.4.32/29
ozerskiy_mr_5cs	10.40.5.32/29
ozerskiy_mr_6cs	10.40.6.32/29
or_zuevo_go_1cs	10.41.1.32/29
or_zuevo_go_2cs	10.41.2.32/29
or_zuevo_go_3cs	10.41.3.32/29
or_zuevo_go_4cs	10.41.4.32/29
or_zuevo_go_5cs	10.41.5.32/29
or_zuevo_go_6cs	10.41.6.32/29
or_zuevo_mr_1cs	10.42.1.32/29
or_zuevo_mr_2cs	10.42.2.32/29
or_zuevo_mr_4cs	10.42.4.32/29
or_zuevo_mr_5cs	10.42.5.32/29
or_zuevo_mr_6cs	10.42.6.32/29
or_zuevo_mr_7cs	10.42.7.32/29
or_zuevo_mr_8cs	10.42.8.32/29
or_zuevo_mr_9cs	10.42.9.32/29
or_zuevo_mr_10cs	10.42.10.32/29
or_zuevo_mr_11cs	10.42.11.32/29
pav_posad_mr_1cs	10.43.1.32/29
pav_posad_mr_2cs	10.43.2.32/29
pav_posad_mr_3cs	10.43.3.32/29
pav_posad_mr_4cs	10.43.4.32/29
vlasiha_zato_1cs	10.44.1.32/29
vlasiha_zato_2cs	10.44.2.32/29
voshod_zato_1cs	10.45.1.32/29
voshod_zato_2cs	10.45.2.32/29
zv_gor_zato_go_1cs	10.46.1.32/29
zv_gor_zato_go_2cs	10.46.2.32/29
zv_gor_zato_go_3cs	10.46.3.32/29
molod_zato_go_1cs	10.47.1.32/29
molod_zato_go_2cs	10.47.2.32/29
podolsk_go_1cs	10.48.1.32/29
podolsk_go_1cs	10.48.1.32/29
podolsk_go_2cs	10.48.2.32/29
podolsk_go_3cs	10.48.3.32/29
podolsk_go_4cs	10.48.4.32/29
podolsk_go_5cs	10.48.5.32/29
podolsk_go_6cs	10.48.6.32/29
podolsk_go_7cs	10.48.7.32/29
podolsk_go_8cs	10.48.8.32/29
podolsk_go_9cs	10.48.9.32/29
podolsk_go_10cs	10.48.10.32/29
podolsk_go_11cs	10.48.11.32/29
podolsk_go_12cs	10.48.12.32/29
podolsk_go_13cs	10.48.13.32/29
podolsk_go_20cs	10.48.20.32/29
podolsk-go-20cs	10.48.20.32/29
podolsk_mr_1cs	10.49.1.32/29
podolsk_mr_2cs	10.49.2.32/29
podolsk_mr_3cs	10.49.3.32/29
podolsk_mr_4cs	10.49.4.32/29
podolsk_mr_5cs	10.49.5.32/29
podolsk_mr_6cs	10.49.6.32/29
podolsk_mr_7cs	10.49.7.32/29
podolsk_mr_9cs	10.49.9.32/29
protvino_go_1cs	10.50.1.32/29
protvino_go_2cs	10.50.2.32/29
protvino_go_3cs	10.50.3.32/29
protvino_go_4cs	10.50.4.32/29
pushkinskiy_mr_1cs	10.51.1.32/29
pushkinskiy_mr_2cs	10.51.2.32/29
pushkinskiy_mr_3cs	10.51.3.32/29
pushkinskiy_mr_4cs	10.51.4.32/29
pushkinskiy_mr_5cs	10.51.5.32/29
pushkinskiy_mr_6cs	10.51.6.32/29
pushkinskiy_mr_7cs	10.51.7.32/29
pushkinskiy_mr_8cs	10.51.8.32/29
pushkinskiy_mr_9cs	10.51.9.32/29
pushkinskiy_mr_10cs	10.51.10.32/29
pushkinskiy_mr_20cs	10.51.20.32/29
pushkinskiy_mr_11cs	10.51.11.32/29
pushkinskiy_mr_12cs	10.51.12.32/29
pushkinskiy_mr_13cs	10.51.13.32/29
pushkinskiy_mr_14cs	10.51.14.32/29
pushkinskiy_mr_15cs	10.51.15.32/29
pushkinskiy-mr-20cs	10.51.20.32/29
pushino_go_1cs	10.52.1.32/29
pushino_go_2cs	10.52.2.32/29
pushino_go_3cs	10.52.3.32/29
mos_oblast_msk_4cs	10.52.4.32/29
pushino_go_5cs	10.52.5.32/29
ramenskiy_mr_1cs	10.53.1.32/29
ramenskiy_mr_2cs	10.53.2.32/29
ramenskiy_mr_3cs	10.53.3.32/29
ramenskiy_mr_4cs	10.53.4.32/29
ramenskiy_mr_5cs	10.53.5.32/29
ramenskiy_mr_6cs	10.53.6.32/29
ramenskiy_mr_7cs	10.53.7.32/29
ramenskiy_mr_8cs	10.53.8.32/29
ramenskiy_mr_9cs	10.53.9.32/29
ramenskiy_mr_10cs	10.53.10.32/29
ramenskiy_mr_11cs	10.53.11.32/29
ramenskiy_mr_12cs	10.53.12.32/29
ramenskiy_mr_13cs	10.53.13.32/29
ramenskiy_mr_14cs	10.53.14.32/29
ramenskiy_mr_15cs	10.53.15.32/29
ramenskiy_mr_20cs	10.53.20.32/29
ramenskiy-mr-20cs	10.53.20.32/29
ramenskiy_mr_21cs	10.53.21.32/29
reutov_go_1cs	10.54.1.32/29
reutov_go_2cs	10.54.2.32/29
reutov_go_3cs	10.54.3.32/29
reutov_go_4cs	10.54.4.32/29
roshal_go_1cs	10.55.1.32/29
roshal_go_2cs	10.55.2.32/29
roshal_go_3cs	10.55.3.32/29
roshal_go_4cs	10.55.4.32/29
roshal_go_5cs	10.55.5.32/29
ruzskiy_mr_1cs	10.56.1.32/29
ruzskiy_mr_2cs	10.56.2.32/29
ruzskiy_mr_3cs	10.56.3.32/29
ruzskiy_mr_4cs	10.56.4.32/29
ruzskiy_mr_5cs	10.56.5.32/29
ruzskiy_mr_6cs	10.56.6.32/29
ruzskiy_mr_7cs	10.56.7.32/29
ruzskiy_mr_8cs	10.56.8.32/29
ruzskiy_mr_9cs	10.56.9.32/29
ruzskiy_mr_20cs	10.56.20.32/29
ruzskiy-mr-20cs	10.56.20.32/29
s_posadskiy_mr_1cs	10.57.1.32/29
s_posadskiy_mr_2cs	10.57.2.32/29
s_posadskiy_mr_3cs	10.57.3.32/29
s_posadskiy_mr_4cs	10.57.4.32/29
s_posadskiy_mr_5cs	10.57.5.32/29
s_posadskiy_mr_6cs	10.57.6.32/29
s_posadskiy_mr_8cs	10.57.8.32/29
s_posadskiy_mr_9cs	10.57.9.32/29
s_posadskiy_mr_10cs	10.57.10.32/29
s_posadskiy_mr_11cs	10.57.11.32/29
s_posadskiy_mr_12cs	10.57.12.32/29
s_posadskiy_mr_13cs	10.57.13.32/29
s_posadskiy_mr_14cs	10.57.14.32/29
s_posadskiy_mr_15cs	10.57.15.32/29
s_posadskiy_mr_16cs	10.57.16.32/29
s_prudskiy_mr_1cs	10.58.1.32/29
s_prudskiy_mr_2cs	10.58.2.32/29
s_prudskiy_mr_3cs	10.58.3.32/29
s_prudskiy_mr_4cs	10.58.4.32/29
s_prudskiy_mr_5cs	10.58.5.32/29
serpuhov_go_1cs	10.59.1.32/29
serpuhov_go_2cs	10.59.2.32/29
serpuhov_go_3cs	10.59.3.32/29
serpuhov_go_4cs	10.59.4.32/29
serpuhov_go_5cs	10.59.5.32/29
serpuhovski_mr_1cs	10.60.1.32/29
serpuhov_go_6cs	10.60.6.32/29
serpuhov-go-20cs	10.60.20.32/29
serpuhovski_mr_20cs	10.60.20.32/29
serpuhovski_mr_21cs	10.60.21.32/29
s_gorskiy_mr_1cs	10.61.1.32/29
s_gorskiy_mr_2cs	10.61.2.32/29
s_gorskiy_mr_3cs	10.61.3.32/29
s_gorskiy_mr_4cs	10.61.4.32/29
s_gorskiy_mr_5cs	10.61.5.32/29
s_gorskiy_mr_6cs	10.61.6.32/29
s_gorskiy_mr_7cs	10.61.7.32/29
s_gorskiy_mr_8cs	10.61.8.32/29
s_gorskiy_mr_9cs	10.61.9.32/29
s_gorskiy_mr_20cs	10.61.20.32/29
s-gorskiy-mr-20cs	10.61.20.32/29
stupinskiy_mr_1cs	10.62.1.32/29
stupinskiy_mr_2cs	10.62.2.32/29
stupinskiy_mr_3cs	10.62.3.32/29
stupinskiy_mr_4cs	10.62.4.32/29
stupinskiy_mr_5cs	10.62.5.32/29
stupinskiy_mr_6cs	10.62.6.32/29
stupinskiy_mr_8cs	10.62.8.32/29
stupinskiy_mr_9cs	10.62.9.32/29
stupinskiy_mr_10cs	10.62.10.32/29
stupinskiy_mr_11cs	10.62.11.32/29
stupinskiy_mr_12cs	10.62.12.32/29
stupinskiy_mr_13cs	10.62.13.32/29
stupinskiy_mr_14cs	10.62.14.32/29
taldomskiy_mr_1cs	10.63.1.32/29
taldomskiy_mr_2cs	10.63.2.32/29
taldomskiy_mr_3cs	10.63.3.32/29
taldomskiy_mr_4cs	10.63.4.32/29
taldomskiy_mr_5cs	10.63.5.32/29
taldomskiy_mr_6cs	10.63.6.32/29
taldomskiy_mr_7cs	10.63.7.32/29
taldomskiy_mr_8cs	10.63.8.32/29
taldomskiy_mr_8cs	10.63.8.32/29
taldomskiy_mr_9cs	10.63.9.32/29
fryazino_go_1cs	10.64.1.32/29
fryazino_go_2cs	10.64.2.32/29
fryazino_go_3cs	10.64.3.32/29
fryazino_go_4cs	10.64.4.32/29
himki_go_1cs	10.65.1.32/29
himki_go_2cs	10.65.2.32/29
himki_go_3cs	10.65.3.32/29
himki_go_4cs	10.65.4.32/29
himki_go_5cs	10.65.5.32/29
himki_go_6cs	10.65.6.32/29
himki_go_7cs	10.65.7.32/29
himki_go_8cs	10.65.8.32/29
himki_go_9cs	10.65.9.32/29
himki_go_10cs	10.65.10.32/29
himki_go_11cs	10.65.11.32/29
himki_go_12cs	10.65.12.32/29
himki_go_13cs	10.65.13.32/29
che_golovka_go_1cs	10.66.1.32/29
che_golovka_go_2cs	10.66.2.32/29
che_golovka_go_3cs	10.66.3.32/29
che_golovka_go_4cs	10.66.4.32/29
chehovskiy_mr_1cs	10.67.1.32/29
chehovskiy_mr_2cs	10.67.2.32/29
chehovskiy_mr_3cs	10.67.3.32/29
chehovskiy_mr_4cs	10.67.4.32/29
chehovskiy_mr_5cs	10.67.5.32/29
chehovskiy_mr_6cs	10.67.6.32/29
chehovskiy_mr_7cs	10.67.7.32/29
chehovskiy_mr_8cs	10.67.8.32/29
shaturskiy_mr_1cs	10.68.1.32/29
shaturskiy_mr_2cs	10.68.2.32/29
shaturskiy_mr_3cs	10.68.3.32/29
shaturskiy_mr_4cs	10.68.4.32/29
shaturskiy_mr_5cs	10.68.5.32/29
shaturskiy_mr_6cs	10.68.6.32/29
shaturskiy_mr_7cs	10.68.7.32/29
shaturskiy_mr_8cs	10.68.8.32/29
shaturskiy_mr_9cs	10.68.9.32/29
shaturskiy_mr_10cs	10.68.10.32/29
shaturskiy_mr_11cs	10.68.11.32/29
shaturskiy_mr_12cs	10.68.12.32/29
shahovskiy_mr_1cs	10.69.1.32/29
shahovskiy_mr_2cs	10.69.2.32/29
shahovskiy_mr_3cs	10.69.3.32/29
shahovskiy_mr_4cs	10.69.4.32/29
schelkovski_mr_1cs	10.70.1.32/29
schelkovski_mr_2cs	10.70.2.32/29
schelkovski_mr_3cs	10.70.3.32/29
schelkovski_mr_4cs	10.70.4.32/29
schelkovski_mr_5cs	10.70.5.32/29
schelkovski_mr_6cs	10.70.6.32/29
schelkovski_mr_7cs	10.70.7.32/29
schelkovski_mr_8cs	10.70.8.32/29
schelkovski_mr_9cs	10.70.9.32/29
schelkovski_mr_10cs	10.70.10.32/29
schelkovski_mr_11cs	10.70.11.32/29
schelkovski_mr_12cs	10.70.12.32/29
schelkovski_mr_13cs	10.70.13.32/29
schelkovski_mr_16cs	10.70.16.32/29
schelkovski_mr_17cs	10.70.17.32/29
schelkovski_mr_20cs	10.70.20.32/29
schelkovski-mr-20cs	10.70.20.32/29
schelkovski_mr_22cs	10.70.22.32/29
schelkovski_mr_23cs	10.71.23.32/29
electro_gk_go_1cs	10.71.1.32/29
electro_gk_go_3cs	10.71.3.32/29
electro_gk_go_4cs	10.71.4.32/29
electro_gk_go_5cs	10.71.5.32/29
electrostal_go_1cs	10.72.1.32/29
electrostal_go_2cs	10.72.2.32/29
electrostal_go_3cs	10.72.3.32/29
electrostal_go_4cs	10.72.4.32/29
electrostal_go_5cs	10.72.5.32/29
ubileiniy_go_2cs	10.73.2.32/29
ubileiniy_go_3cs	10.73.3.32/29
himki_cuks_1cs	10.74.1.32/29
krasnogorsk-mr-15cs 	10.75.15.32/29
sphaera_1cs	10.76.1.32/29
grinvud_1cs	10.78.1.32/29
moscow_1cs	10.200.1.32/29
moscow_3cs	10.200.3.32/29
moscow_4cs	10.200.4.32/29
moscow_5cs	10.200.5.32/29
moscow_6cs	10.200.6.32/29
ptk_pov_4_cs	10.251.254.0/28
ptk_pov_3_cs	10.252.254.0/28
ptk_pov_2_cs	10.253.254.0/28
ptk_pov_1_cs	10.254.254.0/28
n_fominsk_mr_14cs	10.37.14.32/29
