10.1.1.36 balashiha_go_1cs
10.10.8.36 egorevsk_mr_8cs
10.11.1.36 j_dorozjniy_go_1cs
10.11.2.36 j_dorozjniy_go_2cs
10.11.3.36 j_dorozjniy_go_3cs
10.11.4.36 j_dorozjniy_go_4cs
10.12.1.36 zhukovskiy_go_1cs
10.12.2.36 zhukovskiy_go_2cs
10.12.3.36 zhukovskiy_go_3cs
10.12.4.36 zhukovskiy_go_4cs
10.13.1.36 zaraiskiy_mr_1cs
10.13.2.36 zaraiskiy_mr_2cs
10.13.3.36 zaraiskiy_mr_3cs
10.13.4.36 zaraiskiy_mr_4cs
10.13.5.36 zaraiskiy_mr_5cs
10.13.6.36 zaraiskiy_mr_6cs
10.14.1.36 zvinigorod_go_1cs
10.14.2.36 zvinigorod_go_2cs
10.14.3.36 zvinigorod_go_3cs
10.14.4.36 zvinigorod_go_4cs
10.15.1.36 ivanteevka_go_1cs
10.15.2.36 ivanteevka_go_2cs
10.15.3.36 ivanteevka_go_3cs
10.15.4.36 ivanteevka_go_4cs
10.16.1.36 istrinskiy_mr_1cs
10.16.2.36 istrinskiy_mr_2cs
10.16.3.36 istrinskiy_mr_3cs
10.16.4.36 istrinskiy_mr_4cs
10.16.5.36 istrinskiy_mr_5cs
10.16.6.36 istrinskiy_mr_6cs
10.16.7.36 istrinskiy_mr_7cs
10.16.8.36 istrinskiy_mr_8cs
10.16.9.36 istrinskiy_mr_9cs
10.16.10.36 istrinskiy_mr_10cs
10.16.11.36 istrinskiy_mr_11cs
10.16.12.36 istrinskiy_mr_12cs
10.16.13.36 istrinskiy_mr_13cs
10.16.14.36 istrinskiy_mr_14cs
10.16.20.36 istrinskiy_mr_20cs
10.17.1.36 kashirskiy_mr_1cs
10.17.2.36 kashirskiy_mr_2cs
10.17.3.36 kashirskiy_mr_3cs
10.17.4.36 kashirskiy_mr_4cs
10.17.5.36 kashirskiy_mr_5cs
10.17.6.36 kashirskiy_mr_6cs
10.17.7.36 kashirskiy_mr_7cs
10.17.8.36 kashirskiy_mr_8cs
10.17.9.36 kashirskiy_mr_9cs
10.17.20.36 kashirskiy_mr_20cs
10.18.1.36 klimovsk_go_1cs
10.18.2.36 klimovsk_go_2cs
10.18.3.36 klimovsk_go_3cs
10.18.4.36 klimovsk_go_4cs
10.19.1.36 klinskiy_mr_1cs
10.19.2.36 klinskiy_mr_2cs
10.19.3.36 klinskiy_mr_3cs
10.19.4.36 klinskiy_mr_4cs
10.19.5.36 klinskiy_mr_5cs
10.19.6.36 klinskiy_mr_6cs
10.19.7.36 klinskiy_mr_7cs
10.19.8.36 klinskiy_mr_8cs
10.20.1.36 kolomenskiy_mr_1cs
10.20.2.36 kolomenskiy_mr_2cs
10.20.4.36 kolomenskiy_mr_4cs
10.21.1.36 kolomna_go_1cs
10.21.2.36 kolomna_go_2cs
10.21.3.36 kolomna_go_3cs
10.21.4.36 kolomna_go_4cs
10.21.5.36 kolomna_go_5cs
10.21.6.36 kolomna_go_6cs
10.21.7.36 kolomna_go_7cs
10.21.8.36 kolomna_go_8cs
10.22.1.36 korolev_go_1cs
10.22.2.36 korolev_go_2cs
10.22.3.36 korolev_go_3cs
10.22.4.36 korolev_go_4cs
10.22.5.36 korolev_go_5cs
10.22.6.36 korolev_go_6cs
10.22.7.36 korolev_go_7cs
10.23.1.36 kotelniki_go_1cs
10.23.2.36 kotelniki_go_2cs
10.23.3.36 kotelniki_go_3cs
10.24.1.36 k_armeisk_go_1cs
10.24.2.36 k_armeisk_go_2cs
10.24.3.36 k_armeisk_go_3cs
10.24.4.36 k_armeisk_go_4cs
10.25.1.36 krasnogorsk_mr_1cs
10.25.2.36 krasnogorsk_mr_2cs
10.25.3.36 krasnogorsk_mr_3cs
10.25.4.36 krasnogorsk_mr_4cs
10.25.5.36 krasnogorsk_mr_5cs
10.25.6.36 krasnogorsk_mr_6cs
10.25.7.36 krasnogorsk_mr_7cs
10.25.8.36 krasnogorsk_mr_8cs
10.25.9.36 krasnogorsk_mr_9cs
10.25.10.36 krasnogorsk_mr_10cs
10.25.11.36 krasnogorsk_mr_11cs
10.25.12.36 krasnogorsk_mr_12cs
10.25.13.36 krasnogorsk_mr_13cs
10.25.14.36 krasnogorsk_mr_14cs
10.25.15.36 krasnogorsk_mr_15cs
10.25.16.36 krasnogorsk_mr_16cs
10.26.1.36 k_znam_zato_go_1cs
10.26.2.36 k_znam_zato_go_2cs
10.26.3.36 k_znam_zato_go_3cs
10.26.4.36 k_znam_zato_go_4cs
10.27.1.36 leninskiy_mr_1cs
10.27.2.36 leninskiy_mr_2cs
10.27.3.36 leninskiy_mr_3cs
10.27.4.36 leninskiy_mr_4cs
10.27.5.36 leninskiy_mr_5cs
10.27.6.36 leninskiy_mr_6cs
10.27.7.36 leninskiy_mr_7cs
10.27.8.36 leninskiy_mr_8cs
10.28.1.36 lobna_go_1cs
10.28.2.36 lobna_go_2cs
10.28.3.36 lobna_go_3cs
10.28.4.36 lobna_go_4cs
10.29.1.36 losino_petr_go_1cs
10.29.2.36 losino_petr_go_2cs
10.29.3.36 losino_petr_go_3cs
10.29.5.36 losino_petr_go_5cs
10.29.6.36 losino_petr_go_6cs
10.30.1.36 lotoshinski_mr_1cs
10.30.2.36 lotoshinski_mr_2cs
10.30.3.36 lotoshinski_mr_3cs
10.30.4.36 lotoshinski_mr_4cs
10.31.1.36 luhovitskiy_mr_1cs
10.31.2.36 luhovitskiy_mr_2cs
10.31.3.36 luhovitskiy_mr_3cs
10.31.4.36 luhovitskiy_mr_4cs
10.31.5.36 luhovitskiy_mr_5cs
10.31.6.36 luhovitskiy_mr_6cs
10.31.7.36 luhovitskiy_mr_7cs
10.32.1.36 litkarino_go_1cs
10.32.2.36 litkarino_go_2cs
10.32.3.36 litkarino_mr_3cs
10.32.4.36 litkarino_go_4cs
10.33.1.36 lubereckiy_mr_1cs
10.33.2.36 lubereckiy_mr_2cs
10.33.3.36 lubereckiy_mr_3cs
10.33.4.36 lubereckiy_mr_4cs
10.33.5.36 lubereckiy_mr_5cs
10.33.6.36 lubereckiy_mr_6cs
10.33.7.36 lubereckiy_mr_7cs
10.33.8.36 lubereckiy_mr_8cs
10.33.9.36 lubereckiy_mr_9cs
10.33.10.36 lubereckiy_mr_10cs
10.33.11.36 lubereckiy_mr_11cs
10.33.12.36 lubereckiy_mr_12cs
10.33.13.36 lubereckiy_mr_13cs
10.33.14.36 lubereckiy_mr_14cs
10.33.19.36 lubereckiy_mr_19cs
10.33.20.36 lubereckiy_mr_20cs
10.33.22.36 lubereckiy_mr_22cs
10.34.1.36 mozhaiskiy_mr_1cs
10.34.2.36 mozhaiskiy_mr_2cs
10.34.3.36 mozhaiskiy_mr_3cs
10.34.4.36 mozhaiskiy_mr_4cs
10.34.5.36 mozhaiskiy_mr_5cs
10.34.6.36 mozhaiskiy_mr_6cs
10.34.7.36 mozhaiskiy_mr_7cs
10.34.8.36 mozhaiskiy_mr_8ce
10.34.9.36 mozhaiskiy_mr_9cs
10.35.1.36 mos_oblast_msk_1cs
10.35.2.36 mos_oblast_msk_2cs
10.35.3.36 mos_oblast_msk_3cs
10.35.4.36 mos_oblast_msk_4cs
10.35.7.36 mos_oblast_msk_7cs
10.36.1.36 mitishinski_mr_1cs
10.36.2.36 mitishinski_mr_2cs
10.36.3.36 mitishinski_mr_3cs
10.36.4.36 mitishinski_mr_4cs
10.36.5.36 mitishinski_mr_5cs
10.36.6.36 mitishinski_mr_6cs
10.36.7.36 mitishinski_mr_7cs
10.36.8.36 mitishinski_mr_8cs
10.36.9.36 mitishinski_mr_9cs
10.36.10.36 mitishinski_mr_10cs
10.36.11.36 mitishinski_mr_11cs
10.36.12.36 mitishinski_mr_12cs
10.36.13.36 mitishinski_mr_13cs
10.37.1.36 n_fominsk_mr_1cs
10.37.2.36 n_fominsk_mr_2cs
10.37.3.36 n_fominsk_mr_3cs
10.37.4.36 n_fominsk_mr_4cs
10.37.5.36 n_fominsk_mr_5cs
10.37.6.36 n_fominsk_mr_6cs
10.37.7.36 n_fominsk_mr_7cs
10.37.8.36 n_fominsk_mr_8cs
10.37.9.36 n_fominsk_mr_9cs
10.37.10.36 n_fominsk_mr_10cs
10.37.11.36 n_fominsk_mr_11cs
10.37.12.36 n_fominsk_mr_12cs
10.37.13.36 n_fominsk_mr_13ce
10.37.14.36 n_fominsk_mr_14cs
10.38.1.36 noginskiy_mr_1cs
10.38.2.36 noginskiy_mr_2cs
10.38.3.36 noginskiy_mr_3cs
10.38.4.36 noginskiy_mr_4cs
10.38.5.36 noginskiy_mr_5cs
10.38.6.36 noginskiy_mr_6cs
10.38.7.36 noginskiy_mr_7cs
10.38.8.36 noginskiy_mr_8cs
10.38.9.36 noginskiy_mr_9cs
10.38.10.36 noginskiy_mr_10cs
10.38.11.36 noginskiy_mr_11cs
10.38.12.36 noginskiy_mr_12cs
10.38.13.36 noginskiy_mr_13cs
10.38.20.36 noginskiy-mr-20cs
10.38.21.36 noginskiy_mr_21cs
10.39.1.36 odincovskiy_mr_1cs
10.39.2.36 odincovskiy_mr_2cs
10.39.3.36 odincovskiy_mr_3cs
10.39.4.36 odincovskiy_mr_4cs
10.39.5.36 odincovskiy_mr_5cs
10.39.6.36 odincovskiy_mr_6cs
10.39.7.36 odincovskiy_mr_7cs
10.39.8.36 odincovskiy_mr_8cs
10.39.9.36 odincovskiy_mr_9cs
10.39.10.36 odincovskiy_mr_10cs
10.39.11.36 odincovskiy_mr_11cs
10.39.12.36 odincovskiy_mr_12cs
10.39.13.36 odincovskiy_mr_13cs
10.39.14.36 odincovskiy_mr_14cs
10.39.15.36 odincovskiy_mr_15cs
10.39.16.36 odincovskiy_mr_16cs
10.39.17.36 odincovskiy_mr_17cs
10.39.20.36 odincovskiy-mr-20cs
10.39.21.36 odincovskiy_mr_21cs
10.40.1.36 ozerskiy_mr_1cs
10.40.2.36 ozerskiy_mr_2cs
10.40.3.36 ozerskiy_mr_3cs
10.40.4.36 ozerskiy_mr_4cs
10.40.5.36 ozerskiy_mr_5cs
10.40.6.36 ozerskiy_mr_6cs
10.41.1.36 or_zuevo_go_1cs
10.41.2.36 or_zuevo_go_2cs
10.41.3.36 or_zuevo_go_3cs
10.41.4.36 or_zuevo_go_4cs
10.41.5.36 or_zuevo_go_5cs
10.41.6.36 or_zuevo_go_6cs
10.42.1.36 or_zuevo_mr_1cs
10.42.2.36 or_zuevo_mr_2cs
10.42.4.36 or_zuevo_mr_4cs
10.42.5.36 or_zuevo_mr_5cs
10.42.6.36 or_zuevo_mr_6cs
10.42.7.36 or_zuevo_mr_7cs
10.42.8.36 or_zuevo_mr_8cs
10.42.9.36 or_zuevo_mr_9cs
10.42.10.36 or_zuevo_mr_10cs
10.42.11.36 or_zuevo_mr_11cs
10.43.1.36 pav_posad_mr_1cs
10.43.2.36 pav_posad_mr_2cs
10.43.3.36 pav_posad_mr_3cs
10.43.4.36 pav_posad_mr_4cs
10.44.1.36 vlasiha_zato_1cs
10.44.2.36 vlasiha_zato_2cs
10.45.1.36 voshod_zato_1cs
10.45.2.36 voshod_zato_2cs
10.46.1.36 zv_gor_zato_go_1cs
10.46.2.36 zv_gor_zato_go_2cs
10.46.3.36 zv_gor_zato_go_3cs
10.47.1.36 molod_zato_go_1cs
10.47.2.36 molod_zato_go_2cs
10.48.1.36 podolsk_go_1cs
10.48.2.36 podolsk_go_2cs
10.48.3.36 podolsk_go_3cs
10.48.4.36 podolsk_go_4cs
10.48.5.36 podolsk_go_5cs
10.48.6.36 podolsk_go_6cs
10.48.7.36 podolsk_go_7cs
10.48.8.36 podolsk_go_8cs
10.48.9.36 podolsk_go_9cs
10.48.10.36 podolsk_go_10cs
10.48.11.36 podolsk_go_11cs
10.48.12.36 podolsk_go_12cs
10.48.13.36 podolsk_go_13cs
10.48.20.36 podolsk-go-20cs
10.49.1.36 podolsk_mr_1cs
10.49.2.36 podolsk_mr_2cs
10.49.3.36 podolsk_mr_3cs
10.49.4.36 podolsk_mr_4cs
10.49.5.36 podolsk_mr_5cs
10.49.6.36 podolsk_mr_6cs
10.49.7.36 podolsk_mr_7cs
10.49.9.36 podolsk_mr_9cs
10.50.1.36 protvino_go_1cs
10.50.2.36 protvino_go_2cs
10.50.3.36 protvino_go_3cs
10.50.4.36 protvino_go_4cs
10.51.1.36 pushkinskiy_mr_1cs
10.51.2.36 pushkinskiy_mr_2cs
10.51.3.36 pushkinskiy_mr_3cs
10.51.4.36 pushkinskiy_mr_4cs
10.51.5.36 pushkinskiy_mr_5cs
10.51.6.36 pushkinskiy_mr_6cs
10.51.7.36 pushkinskiy_mr_7cs
10.51.8.36 pushkinskiy_mr_8cs
10.51.9.36 pushkinskiy_mr_9cs
10.51.10.36 pushkinskiy_mr_10cs
10.51.11.36 pushkinskiy_mr_11cs
10.51.12.36 pushkinskiy_mr_12cs
10.51.13.36 pushkinskiy_mr_13cs
10.51.14.36 pushkinskiy_mr_14cs
10.51.15.36 pushkinskiy_mr_15cs
10.51.20.36 pushkinskiy-mr-20cs
10.52.1.36 pushino_go_1cs
10.52.2.36 pushino_go_2cs
10.52.3.36 pushino_go_3cs
10.52.4.36 mos_oblast_msk_4cs
10.52.5.36 pushino_go_5cs
10.53.1.36 ramenskiy_mr_1cs
10.53.2.36 ramenskiy_mr_2cs
10.53.3.36 ramenskiy_mr_3cs
10.53.4.36 ramenskiy_mr_4cs
10.53.5.36 ramenskiy_mr_5cs
10.53.6.36 ramenskiy_mr_6cs
10.53.7.36 ramenskiy_mr_7cs
10.53.8.36 ramenskiy_mr_8cs
10.53.9.36 ramenskiy_mr_9cs
10.53.10.36 ramenskiy_mr_10cs
10.53.11.36 ramenskiy_mr_11cs
10.53.12.36 ramenskiy_mr_12cs
10.53.13.36 ramenskiy_mr_13cs
10.53.14.36 ramenskiy_mr_14cs
10.53.15.36 ramenskiy_mr_15cs
10.53.20.36 ramenskiy-mr-20cs
10.53.21.36 ramenskiy_mr_21cs
10.54.1.36 reutov_go_1cs
10.54.2.36 reutov_go_2cs
10.54.3.36 reutov_go_3cs
10.54.4.36 reutov_go_4cs
10.55.1.36 roshal_go_1cs
10.55.2.36 roshal_go_2cs
10.55.3.36 roshal_go_3cs
10.55.4.36 roshal_go_4cs
10.55.5.36 roshal_go_5cs
10.56.1.36 ruzskiy_mr_1cs
10.56.2.36 ruzskiy_mr_2cs
10.56.3.36 ruzskiy_mr_3cs
10.56.4.36 ruzskiy_mr_4cs
10.56.5.36 ruzskiy_mr_5cs
10.56.6.36 ruzskiy_mr_6cs
10.56.7.36 ruzskiy_mr_7cs
10.56.8.36 ruzskiy_mr_8cs
10.56.9.36 ruzskiy_mr_9cs
10.56.20.36 ruzskiy-mr-20cs
10.57.1.36 s_posadskiy_mr_1cs
10.57.2.36 s_posadskiy_mr_2cs
10.57.3.36 s_posadskiy_mr_3cs
10.57.4.36 s_posadskiy_mr_4cs
10.57.5.36 s_posadskiy_mr_5cs
10.57.6.36 s_posadskiy_mr_6cs
10.57.8.36 s_posadskiy_mr_8cs
10.57.9.36 s_posadskiy_mr_9cs
10.57.10.36 s_posadskiy_mr_10cs
10.57.11.36 s_posadskiy_mr_11cs
10.57.12.36 s_posadskiy_mr_12cs
10.57.13.36 s_posadskiy_mr_13cs
10.57.14.36 s_posadskiy_mr_14cs
10.57.15.36 s_posadskiy_mr_15cs
10.57.16.36 s_posadskiy_mr_16cs
10.58.1.36 s_prudskiy_mr_1cs
10.58.2.36 s_prudskiy_mr_2cs
10.58.3.36 s_prudskiy_mr_3cs
10.58.4.36 s_prudskiy_mr_4cs
10.58.5.36 s_prudskiy_mr_5cs
10.59.1.36 serpuhov_go_1cs
10.59.2.36 serpuhov_go_2cs
10.59.3.36 serpuhov_go_3cs
10.59.4.36 serpuhov_go_4cs
10.59.5.36 serpuhov_go_5cs
10.60.1.36 serpuhovski_mr_1cs
10.60.6.36 serpuhov_go_6cs
10.60.20.36 serpuhovski_mr_20cs
10.60.21.36 serpuhovski_mr_21cs
10.61.1.36 s_gorskiy_mr_1cs
10.61.2.36 s_gorskiy_mr_2cs
10.61.3.36 s_gorskiy_mr_3cs
10.61.4.36 s_gorskiy_mr_4cs
10.61.5.36 s_gorskiy_mr_5cs
10.61.6.36 s_gorskiy_mr_6cs
10.61.7.36 s_gorskiy_mr_7cs
10.61.8.36 s_gorskiy_mr_8cs
10.61.9.36 s_gorskiy_mr_9cs
10.61.20.36 s-gorskiy-mr-20cs
10.62.1.36 stupinskiy_mr_1cs
10.62.2.36 stupinskiy_mr_2cs
10.62.3.36 stupinskiy_mr_3cs
10.62.4.36 stupinskiy_mr_4cs
10.62.5.36 stupinskiy_mr_5cs
10.62.6.36 stupinskiy_mr_6cs
10.62.8.36 stupinskiy_mr_8cs
10.62.9.36 stupinskiy_mr_9cs
10.62.10.36 stupinskiy_mr_10cs
10.62.11.36 stupinskiy_mr_11cs
10.62.12.36 stupinskiy_mr_12cs
10.62.13.36 stupinskiy_mr_13cs
10.62.14.36 stupinskiy_mr_14cs
10.63.1.36 taldomskiy_mr_1cs
10.63.2.36 taldomskiy_mr_2cs
10.63.3.36 taldomskiy_mr_3cs
10.63.4.36 taldomskiy_mr_4cs
10.63.5.36 taldomskiy_mr_5cs
10.63.6.36 taldomskiy_mr_6cs
10.63.7.36 taldomskiy_mr_7cs
10.63.8.36 taldomskiy_mr_8cs
10.63.9.36 taldomskiy_mr_9cs
10.64.1.36 fryazino_go_1cs
10.64.2.36 fryazino_go_2cs
10.64.3.36 fryazino_go_3cs
10.64.4.36 fryazino_go_4cs
10.65.1.36 himki_go_1cs
10.65.2.36 himki_go_2cs
10.65.3.36 himki_go_3cs
10.65.4.36 himki_go_4cs
10.65.5.36 himki_go_5cs
10.65.6.36 himki_go_6cs
10.65.7.36 himki_go_7cs
10.65.8.36 himki_go_8cs
10.65.9.36 himki_go_9cs
10.65.10.36 himki_go_10cs
10.65.11.36 himki_go_11cs
10.65.12.36 himki_go_12cs
10.65.13.36 himki_go_13cs
10.66.1.36 che_golovka_go_1cs
10.66.2.36 che_golovka_go_2cs
10.66.3.36 che_golovka_go_3cs
10.66.4.36 che_golovka_go_4cs
10.67.1.36 chehovskiy_mr_1cs
10.67.2.36 chehovskiy_mr_2cs
10.67.3.36 chehovskiy_mr_3cs
10.67.4.36 chehovskiy_mr_4cs
10.67.5.36 chehovskiy_mr_5cs
10.67.6.36 chehovskiy_mr_6cs
10.67.7.36 chehovskiy_mr_7cs
10.67.8.36 chehovskiy_mr_8cs
10.68.1.36 shaturskiy_mr_1cs
10.68.2.36 shaturskiy_mr_2cs
10.68.3.36 shaturskiy_mr_3cs
10.68.4.36 shaturskiy_mr_4cs
10.68.5.36 shaturskiy_mr_5cs
10.68.6.36 shaturskiy_mr_6cs
10.68.7.36 shaturskiy_mr_7cs
10.68.8.36 shaturskiy_mr_8cs
10.68.9.36 shaturskiy_mr_9cs
10.68.10.36 shaturskiy_mr_10cs
10.68.11.36 shaturskiy_mr_11cs
10.68.12.36 shaturskiy_mr_12cs
10.69.1.36 shahovskiy_mr_1cs
10.69.2.36 shahovskiy_mr_2cs
10.69.3.36 shahovskiy_mr_3cs
10.69.4.36 shahovskiy_mr_4cs
10.70.1.36 schelkovski_mr_1cs
10.70.2.36 schelkovski_mr_2cs
10.70.3.36 schelkovski_mr_3cs
10.70.4.36 schelkovski_mr_4cs
10.70.5.36 schelkovski_mr_5cs
10.70.6.36 schelkovski_mr_6cs
10.70.7.36 schelkovski_mr_7cs
10.70.8.36 schelkovski_mr_8cs
10.70.9.36 schelkovski_mr_9cs
10.70.10.36 schelkovski_mr_10cs
10.70.11.36 schelkovski_mr_11cs
10.70.12.36 schelkovski_mr_12cs
10.70.13.36 schelkovski_mr_13cs
10.70.16.36 schelkovski_mr_16cs
10.70.17.36 schelkovski_mr_17cs
10.70.20.36 schelkovski-mr-20cs
10.70.22.36 schelkovski_mr_22cs
10.71.1.36 electro_gk_go_1cs
10.71.3.36 electro_gk_go_3cs
10.71.4.36 electro_gk_go_4cs
10.71.5.36 electro_gk_go_5cs
10.71.23.36 schelkovski_mr_23cs
10.72.1.36 electrostal_go_1cs
10.72.2.36 electrostal_go_2cs
10.72.3.36 electrostal_go_3cs
10.72.4.36 electrostal_go_4cs
10.72.5.36 electrostal_go_5cs
10.73.2.36 ubileiniy_go_2cs
10.73.3.36 ubileiniy_go_3cs
10.74.1.36 himki_cuks_1cs
10.75.15.36 krasnogorsk-mr-15cs 
10.76.1.36 sphaera_1cs
10.78.1.36 grinvud_1cs
10.200.1.36 moscow_1cs
10.200.3.36 moscow_3cs
10.200.4.36 moscow_4cs
10.200.5.36 moscow_5cs
10.200.6.36 moscow_6cs
10.251.254.6 ptk_pov_4_cs
10.252.254.6 ptk_pov_3_cs
10.253.254.6 ptk_pov_2_cs
10.254.254.6 ptk_pov_1_cs
